TTME,INVC,INVT,GC,HINC,PSIZE ,choice
40,20,345,57,20,1,2
45,148,115,160,45,1,1
20,19,325,55,26,1,2
15,38,255,66,26,1,2
20,21,300,54,6,1,2
45,18,305,51,20,1,2
10,28,305,75,72,2,2
20,21,305,54,6,1,2
45,45,465,116,10,2,2
90,142,105,153,50,1,1
50,120,110,132,50,1,1
15,85,65,92,18,2,1
30,85,140,106,60,1,1
80,75,110,87,45,1,1
45,85,140,106,18,2,1
60,43,320,91,8,2,2
2,11,285,42,6,1,2
5,17,300,50,20,1,2
15,32,325,67,45,1,2
45,29,290,73,70,2,2
10,31,295,63,4,1,2
15,15,330,50,40,1,2
10,23,325,58,35,1,2
45,24,360,79,40,2,2
30,31,265,71,4,3,2
55,25,360,80,15,4,2
30,147,100,158,26,1,1
75,125,110,137,26,1,1
40,152,95,162,70,1,1
30,116,180,136,70,1,1
40,100,105,116,45,2,1
45,105,115,122,8,2,1
20,106,190,127,70,1,1
60,90,100,105,26,2,1
40,48,115,60,50,1,1
50,69,85,82,10,3,1
75,99,135,114,30,1,1
90,64,155,88,60,2,1
85,105,85,118,30,4,1
15,24,365,64,30,1,2
30,22,340,74,50,2,2
15,22,290,66,6,4,2
30,31,875,126,30,1,2
45,22,890,119,12,1,2
10,44,830,170,36,2,2
40,59,790,145,30,1,2
50,78,775,196,35,3,2
40,43,895,140,6,1,2
25,28,870,160,6,1,2
25,36,875,169,8,2,2
5,22,800,109,6,1,2
75,89,685,193,12,2,2
10,30,790,116,30,1,3
45,39,850,131,35,1,3
40,73,792,193,60,3,2
45,75,765,191,60,2,2
40,24,399,85,12,2,2
30,30,760,113,10,1,2
25,23,830,113,10,1,2
75,23,835,114,15,1,2
30,82,850,211,10,2,2
50,73,840,200,8,1,2
30,80,800,167,30,1,2
30,43,785,128,20,1,3
60,52,1025,163,60,1,3
1,11,320,46,8,1,2
25,60,337,97,30,1,2
25,65,140,86,70,2,1
10,37,285,68,60,1,2
10,18,305,51,15,1,2
20,40,262,80,26,2,2
20,30,291,74,35,4,2
10,30,340,67,12,1,2
30,145,90,158,50,1,1
45,121,100,136,40,2,1
30,84,180,103,70,1,1
5,31,300,64,10,1,3
45,180,160,197,26,1,1
40,32,1110,201,50,3,3
15,25,360,64,30,1,3
30,28,795,114,30,1,3
60,108,80,120,30,2,1
30,58,90,72,35,2,1
55,69,115,81,60,1,1
40,66,105,77,45,1,1
40,18,245,45,45,1,3
20,54,820,143,6,1,3
90,151,95,161,36,1,1
10,70,85,80,20,1,1
25,75,100,90,20,2,1
99,110,260,138,26,1,1
30,94,195,115,29,1,1
35,95,155,119,8,2,1
15,38,675,111,32,1,3
30,35,770,152,45,2,3
30,36,780,154,26,2,3
10,35,380,92,10,2,2
15,35,935,136,60,1,3
25,25,730,104,8,1,3
5,65,850,157,50,1,3
45,35,800,122,26,1,3
30,61,780,146,12,1,2
30,67,845,158,15,1,2
99,37,885,171,12,4,2
25,68,755,183,35,3,2
15,21,797,108,26,1,2
45,20,820,109,6,1,2
30,33,755,115,4,1,2
10,41,730,152,40,2,2
10,83,825,208,40,1,2
45,94,270,123,60,1,1
45,138,115,150,4,1,1
60,102,250,129,50,1,1
60,151,255,190,60,2,1
60,111,205,133,70,1,1
60,70,95,93,40,2,1
45,74,70,85,35,3,1
75,165,180,192,60,2,1
30,93,175,112,60,1,1
90,71,115,89,50,2,1
45,75,75,96,40,3,1
60,81,70,89,60,1,1
75,94,95,104,20,1,1
50,26,227,51,35,1,3
15,21,240,47,34,1,3
15,31,565,117,8,2,3
30,35,860,128,32,1,3
15,21,295,53,26,1,3
15,21,243,47,42,1,3
90,55,115,72,50,1,1
15,87,110,104,70,2,1
20,61,350,114,26,3,2
50,41,420,104,18,2,2
30,21,295,66,35,2,2
15,35,615,128,50,3,3
15,50,75,58,4,1,1
10,61,80,73,30,4,1
30,93,85,102,30,1,1
20,76,95,86,60,1,1
30,48,430,113,4,2,3
10,21,255,60,18,3,2
10,30,315,78,15,2,2
30,111,105,122,40,1,1
5,64,80,76,70,2,1
5,60,85,73,45,4,1
16,38,810,161,26,3,3
5,14,370,54,4,1,3
10,37,250,64,20,1,3
30,35,775,119,45,1,3
45,126,135,141,40,1,1
50,29,265,57,2,1,3
